date,platform,campaign_type,industry,country,impressions,clicks,CTR,CPC,ad_spend,conversions,CPA,revenue,ROAS
2024-10-05,Meta Ads,Display,Real Estate,Canada,128473,3931,0.0306,0.43,1690.33,300,5.63,42782.25,
2024-11-18,Meta Ads,Search,SaaS,India,162028,5477,0.0338,3.67,,374,53.74,265930.81,13.23
2024-05-07,LinkedIn Ads,Display,Fintech,Germany,107972,5809,0.0538,2.35,13651.15,520,,120539.65,8.83
2024-11-13,TikTok Ads,Search,E-commerce,USA,166965,11086,0.0664,3.23,35807.78,922,,784190.38,
2024-04-20,TikTok Ads,Video,Real Estate,Germany,170762,5174,3.03%,2.97,15366.78,381,40.33,296886.19,19.32
2024-03-21,Google Ads,Search,Healthcare,Singapore,16746,909,0.0543,2.89,,24,109.46,23196.50,
2024-12-14,Meta Ads,Video,EdTech,India,147159,7152,0.0486,1.33,9512.16,225,42.28,244082.03,25.66
2024-08-26,TikTok Ads,Shopping,Fintech,Singapore,27739,619,0.0223,3.69,2284.11,50,45.68,46824.26,
2024-07-28,TikTok Ads,Search,SaaS,USA,77326,3959,0.0512,1.95,,266,29.02,147375.75,19.09
2024-10-13,TikTok Ads,Search,Real Estate,Germany,131594,1816,0.0138,3.41,6192.56,108,,159086.87,25.69
2024-04-21,Google Ads,Display,Real Estate,Canada,178194,7449,0.0418,0.88,6555.12,642,,59520.49,
2024-08-04,Google Ads,Video,E-commerce,UAE,109881,4956,4.51%,2.68,13282.08,357,37.20,352373.58,26.53
2024-07-19,Meta Ads,Display,Real Estate,UK,136279,7754,0.0569,3.59,,307,90.67,545045.72,
2024-04-15,LinkedIn Ads,Video,Healthcare,UK,187746,7285,0.0388,3.47,25278.95,475,53.22,61933.43,2.45
2024-05-07,Google Ads,Display,Fintech,Germany,176218,10344,0.0587,3.70,38272.80,244,156.86,377752.54,
2024-03-26,Meta Ads,Search,E-commerce,Germany,161716,4496,0.0278,3.36,,193,78.27,72662.55,4.81
2024-10-01,TikTok Ads,Video,EdTech,Canada,217325,5368,0.0247,2.65,14225.20,117,,17070.24,1.20
2024-04-19,TikTok Ads,Search,EdTech,Canada,21736,463,0.0213,1.83,847.29,13,,2143.64,
2024-08-25,TikTok Ads,Search,SaaS,Germany,169246,2573,1.52%,3.06,7873.38,208,37.85,117943.23,14.98
2024-08-21,Google Ads,Search,SaaS,Australia,119745,7436,0.0621,2.07,,622,24.75,43099.06,
2024-02-11,Meta Ads,Search,EdTech,Canada,171661,9991,0.0582,2.26,22579.66,427,52.88,628843.53,27.85
2024-09-10,LinkedIn Ads,Display,Fintech,UK,179629,10688,0.0595,3.01,32170.88,753,42.72,213936.35,
2024-08-08,LinkedIn Ads,Shopping,SaaS,Australia,117049,7643,0.0653,1.46,,320,34.87,86257.37,7.73
2024-03-22,LinkedIn Ads,Search,Fintech,UK,32439,1411,0.0435,2.93,4134.23,65,,17942.56,4.34
2024-01-19,TikTok Ads,Search,SaaS,India,182415,14721,0.0807,1.84,27086.64,1238,,59590.61,
2024-05-20,TikTok Ads,Shopping,Fintech,Germany,48561,2909,5.99%,1.16,3374.44,80,42.18,80277.93,23.79
2024-06-04,TikTok Ads,Video,SaaS,USA,167644,13378,0.0798,3.22,,518,83.16,245970.58,
2024-12-25,TikTok Ads,Shopping,Healthcare,USA,55554,4194,0.0755,2.33,9772.02,202,48.38,45537.61,4.66
2024-11-01,Google Ads,Video,SaaS,Australia,126920,4683,0.0369,1.66,7773.78,330,23.56,170479.00,
2024-10-20,Google Ads,Search,EdTech,UAE,205770,11749,0.0571,2.69,,459,68.86,594170.43,18.80
2024-08-20,LinkedIn Ads,Display,Healthcare,Germany,205903,10172,0.0494,1.57,15970.04,282,,307423.27,19.25
2024-10-16,TikTok Ads,Search,EdTech,Australia,165109,2642,0.0160,1.10,2906.20,228,,62977.35,
2024-05-10,TikTok Ads,Search,Fintech,Singapore,203825,8846,4.34%,0.84,7430.64,507,14.66,52460.32,7.06
2024-09-27,TikTok Ads,Search,SaaS,USA,122352,1640,0.0134,3.53,,132,43.86,95290.23,
2024-10-13,LinkedIn Ads,Shopping,Fintech,Australia,13467,1111,0.0825,0.98,1088.78,96,11.34,14491.66,13.31
2024-12-12,Google Ads,Display,Fintech,Germany,122209,6721,0.0550,2.18,14651.78,321,45.64,135382.45,
2024-06-08,TikTok Ads,Video,Fintech,UK,147094,7237,0.0492,3.48,,322,78.21,518302.36,20.58
2024-11-27,Meta Ads,Video,Fintech,UAE,75100,1983,0.0264,2.45,4858.35,145,,90511.06,18.63
2024-03-25,LinkedIn Ads,Display,E-commerce,Singapore,186555,14831,0.0795,2.32,34407.92,956,,612116.90,
2024-11-11,Meta Ads,Display,Fintech,Singapore,123922,7200,5.81%,3.11,22392.00,442,50.66,232205.04,10.37
2024-02-10,LinkedIn Ads,Display,Fintech,USA,104662,7609,0.0727,0.66,,613,8.19,120827.88,
2024-10-20,LinkedIn Ads,Display,E-commerce,USA,125894,9870,0.0784,2.34,23095.80,327,70.63,398633.51,17.26
2024-09-05,Google Ads,Display,Fintech,India,195253,3554,0.0182,2.60,9240.40,81,114.08,185270.02,
2024-08-17,Meta Ads,Shopping,Healthcare,Canada,109558,4580,0.0418,1.55,,283,25.08,158094.73,22.27
2024-11-11,Google Ads,Shopping,Fintech,Australia,82487,2508,0.0304,3.30,8276.40,219,,142271.32,17.19
2024-03-11,Google Ads,Video,Healthcare,Canada,179980,11339,0.0630,1.73,19616.47,699,,516109.33,
2024-05-18,LinkedIn Ads,Shopping,EdTech,UK,177351,10801,6.09%,2.13,23006.13,230,100.03,211656.40,9.20
2024-04-11,LinkedIn Ads,Video,EdTech,UAE,48617,856,0.0176,3.27,,23,121.70,60936.84,
2024-12-17,Google Ads,Shopping,E-commerce,UAE,164564,6500,0.0395,0.95,6175.00,508,12.16,134429.75,21.77
2024-03-24,LinkedIn Ads,Search,SaaS,India,185304,11952,0.0645,3.70,44222.40,750,58.96,940610.45,
2024-08-08,Meta Ads,Shopping,SaaS,Germany,104427,6422,0.0615,2.34,,327,45.96,326547.14,21.73
2024-07-17,LinkedIn Ads,Video,EdTech,UAE,73536,1162,0.0158,2.03,2358.86,53,,61825.72,26.21
2024-12-28,Google Ads,Shopping,Fintech,UAE,79510,3562,0.0448,2.15,7658.30,278,,25195.81,
2024-04-27,LinkedIn Ads,Shopping,Fintech,Australia,21960,898,4.09%,1.67,1499.66,42,35.71,4528.97,3.02
2024-04-01,TikTok Ads,Search,Real Estate,India,215455,4891,0.0227,0.53,,412,6.29,35383.94,
2024-03-25,LinkedIn Ads,Display,E-commerce,USA,28768,385,0.0134,1.13,435.05,12,36.25,11472.27,26.37
2024-10-17,LinkedIn Ads,Search,Healthcare,Germany,86944,1817,0.0209,1.21,2198.57,118,18.63,39002.63,
2024-02-04,LinkedIn Ads,Search,Real Estate,Germany,196362,4418,0.0225,1.86,,278,29.56,60316.30,7.34
2024-07-06,Google Ads,Shopping,Fintech,USA,110355,8365,0.0758,0.55,4600.75,394,,50378.21,10.95
2024-12-01,TikTok Ads,Search,Healthcare,Germany,200136,12008,0.0600,0.75,9006.00,729,,192548.28,
2024-03-02,TikTok Ads,Shopping,Real Estate,UAE,212247,13159,6.20%,3.73,49083.07,704,69.72,282718.48,5.76
2024-03-03,LinkedIn Ads,Search,Healthcare,Germany,19483,1360,0.0698,3.41,,57,81.36,42805.05,
2024-07-27,LinkedIn Ads,Shopping,Fintech,Germany,83002,3162,0.0381,3.05,9644.10,255,37.82,94801.50,9.83
2024-02-26,TikTok Ads,Display,SaaS,Singapore,109356,4013,0.0367,1.04,4173.52,275,15.18,45032.28,
2024-09-09,Google Ads,Display,Fintech,Australia,165929,14038,0.0846,1.01,,569,24.92,50900.38,3.59
2024-06-22,TikTok Ads,Shopping,SaaS,Australia,51684,3225,0.0624,1.60,5160.00,74,,126265.20,24.47
2024-06-20,LinkedIn Ads,Shopping,Real Estate,USA,27671,1688,0.0610,1.78,3004.64,94,,63698.37,
2024-03-01,Meta Ads,Display,Fintech,UAE,25624,748,2.92%,2.59,1937.32,34,56.98,51590.83,26.63
2024-01-20,Meta Ads,Display,Healthcare,India,124376,8420,0.0677,2.35,,480,41.22,230122.81,
2024-11-09,Meta Ads,Search,Fintech,UAE,138821,6913,0.0498,3.51,24264.63,195,124.43,530910.10,21.88
2024-12-15,Meta Ads,Shopping,Real Estate,Singapore,60475,1270,0.0210,3.30,4191.00,66,63.50,105780.84,
2024-08-03,TikTok Ads,Shopping,Real Estate,UK,152178,7852,0.0516,3.43,,625,43.09,542956.38,20.16
2024-12-21,Meta Ads,Shopping,E-commerce,Germany,39814,3340,0.0839,3.09,10320.60,122,,146965.34,14.24
2024-06-18,TikTok Ads,Display,E-commerce,UAE,168418,12884,0.0765,0.62,7988.08,617,,162158.02,
2024-08-17,LinkedIn Ads,Display,E-commerce,UK,40853,3391,8.30%,2.58,8748.78,175,49.99,168851.45,19.30
2024-06-05,Meta Ads,Video,SaaS,USA,40548,2019,0.0498,1.43,,63,45.83,75701.60,
2024-04-12,TikTok Ads,Search,Healthcare,Germany,174476,14272,0.0818,1.33,18981.76,910,20.86,332370.62,17.51
2024-02-17,Meta Ads,Video,EdTech,India,155749,2336,0.0150,3.34,7802.24,60,130.04,207539.58,
2024-10-09,Meta Ads,Display,E-commerce,USA,138557,10655,0.0769,2.25,,692,34.64,216243.22,9.02
2024-04-26,LinkedIn Ads,Shopping,SaaS,UK,188515,3092,0.0164,1.89,5843.88,167,,37108.64,6.35
2024-10-05,TikTok Ads,Shopping,Real Estate,India,112521,2419,0.0215,1.66,4015.54,143,,38067.32,
2024-08-04,TikTok Ads,Display,EdTech,UAE,33378,524,1.57%,3.61,1891.64,42,45.04,23021.26,12.17
2024-03-27,TikTok Ads,Shopping,EdTech,UAE,138617,11741,0.0847,1.99,,957,24.41,334814.57,
2024-02-13,LinkedIn Ads,Video,EdTech,India,20755,326,0.0157,2.08,678.08,27,25.11,12612.29,18.60
2024-08-10,Google Ads,Search,SaaS,UAE,77329,5034,0.0651,3.00,15102.00,230,65.66,176693.40,
2024-10-18,Meta Ads,Shopping,E-commerce,Canada,27275,1096,0.0402,1.93,,64,33.05,49180.26,23.25
2024-10-22,Google Ads,Video,Fintech,Australia,105831,7408,0.0700,1.55,11482.40,635,,245034.42,21.34
2024-04-20,LinkedIn Ads,Search,Fintech,USA,43923,2815,0.0641,3.13,8810.95,159,,42733.11,
2024-09-05,TikTok Ads,Shopping,EdTech,Australia,169611,11194,6.60%,1.42,15895.48,487,32.64,370841.55,23.33
